nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,id_writers
nm0000591,Roman Polanski,1933,\N,"director,actor,writer","tt0071315,tt0074811,tt1692486,tt1139328",nm0000591
nm0000600,Sam Raimi,1959,\N,"producer,writer,director","tt0106308,tt0083907,tt0099365,tt0145487",nm0000600
nm0000601,Harold Ramis,1944,2014,"writer,actor,producer","tt0107048,tt0087332,tt0083131,tt0478311",nm0000601
nm0000626,John Sayles,1950,\N,"writer,actor,director","tt0116905,tt0087004,tt0119657,tt0095082",nm0000626
nm0000632,Jerry Seinfeld,1954,\N,"writer,producer,actor","tt0098904,tt2314952,tt12117854,tt0389790",nm0000632
nm0000636,William Shakespeare,1564,1616,"writer,soundtrack,miscellaneous","tt20711868,tt14297038,tt8632012,tt10095582",nm0000636
nm0000668,Emma Thompson,1959,\N,"actress,writer,soundtrack","tt2140373,tt0314331,tt0107943,tt0114388",nm0000668
nm0000681,Vince Vaughn,1970,\N,"producer,actor,writer","tt0396269,tt1078940,tt0452594,tt5657856",nm0000681
nm0000697,Billy Wilder,1906,2002,"writer,director,producer","tt0043014,tt0047437,tt0053604,tt0053291",nm0000697
nm0000709,Robert Zemeckis,1951,\N,"producer,writer,director","tt0118884,tt0088763,tt0109830,tt1907668",nm0000709
nm0000720,Jim Abrahams,1944,\N,"writer,producer,director","tt0088286,tt0083466,tt0102059,tt0080339",nm0000720
nm0000735,Brian Aldiss,1925,2017,"writer,actor","tt0432260,tt1590816,tt0212720,tt0099612",nm0000735
nm0000759,Paul Thomas Anderson,1970,\N,"director,writer,producer","tt0469494,tt0272338,tt0118749,tt11271038",nm0000759
nm0000766,Theodoros Angelopoulos,1935,2012,"director,writer,producer","tt0096288,tt0156794,tt0114863,tt0081148",nm0000766
nm0000783,Dario Argento,1940,\N,"writer,director,producer","tt0093677,tt0073582,tt0087909,tt0065143",nm0000783
nm0000807,Jane Austen,1775,1817,writer,"tt13456318,tt0414387,tt0114388,tt0116191",nm0000807
nm0000812,Roger Avary,1965,\N,"writer,producer,director","tt0110265,tt0105236,tt0110912,tt0442933",nm0000812
nm0000837,Bob Balaban,1945,\N,"actor,director,producer","tt0379725,tt0075860,tt0280707,tt0310281",nm0000837
nm0000850,Clive Barker,1952,\N,"writer,producer,actor","tt0887261,tt0100260,tt0103919,tt0093177",nm0000850
nm0000875,L. Frank Baum,1856,1919,"writer,producer,miscellaneous","tt0032138,tt0004207,tt0089908,tt0000679",nm0000875
nm0000876,Noah Baumbach,1969,\N,"writer,director,producer","tt2347569,tt2872462,tt7653254,tt0367089",nm0000876
nm0000886,Warren Beatty,1937,\N,"actor,soundtrack,producer","tt0118798,tt0061418,tt0082979,tt0077663",nm0000886
nm0000905,Roberto Benigni,1952,\N,"actor,writer,director","tt0419198,tt0118799,tt0102164,tt0090967",nm0000905
nm0000916,Peter Berg,1964,\N,"producer,actor,writer","tt0108724,tt0124198,tt0369339,tt1091191",nm0000916
nm0000934,Bernardo Bertolucci,1941,2018,"writer,director,producer","tt0070849,tt0065571,tt0117737,tt0093389",nm0000934
nm0000948,Shane Black,1961,\N,"writer,actor,director","tt3799694,tt1300854,tt0093773,tt0373469",nm0000948
nm0000965,Danny Boyle,1956,\N,"director,producer,writer","tt0111149,tt0289043,tt1010048,tt1542344",nm0000965
nm0000975,Robert Bresson,1901,1999,"writer,director,editor","tt0060138,tt0042619,tt0061996,tt0049902",nm0000975
nm0000985,James L. Brooks,1940,\N,"writer,producer,miscellaneous","tt0119822,tt0092699,tt0086425,tt0065314",nm0000985
nm0001008,Frank Capra,1897,1991,"director,writer,producer","tt0030993,tt0025316,tt0031679,tt0038650",nm0001008
nm0001023,John Cassavetes,1929,1989,"actor,director,writer","tt0065867,tt0063522,tt0087644,tt0079672",nm0001023
nm0001031,Claude Chabrol,1930,2010,"director,writer,actor","tt0096336,tt0232083,tt0112769,tt0051404",nm0001031
nm0001037,Graham Chapman,1941,1989,"writer,actor,soundtrack","tt0063929,tt0071853,tt0085959,tt0079470",nm0001037
nm0001045,Tommy Chong,1938,\N,"actor,soundtrack,writer","tt2948356,tt0082163,tt0080520,tt0078446",nm0001045
nm0001047,Michael Cimino,1939,2016,"director,writer,producer","tt0090350,tt0067756,tt0077416,tt0080855",nm0001047
nm0001053,Ethan Coen,1957,\N,"producer,writer,director","tt2042568,tt0116282,tt1019452,tt6412452",nm0001053
nm0001054,Joel Coen,1954,\N,"producer,writer,director","tt0101410,tt6412452,tt2042568,tt10095582",nm0001054
nm0001060,Chris Columbus,1958,\N,"producer,writer,director","tt0304141,tt1454029,tt0241527,tt0295297",nm0001060
nm0001068,Sofia Coppola,1971,\N,"director,actress,writer","tt0335266,tt0159097,tt0099674,tt5592248",nm0001068
nm0001081,Cameron Crowe,1957,\N,"writer,producer,director","tt0181875,tt0116695,tt0259711,tt0105415",nm0001081
nm0001084,Ice Cube,1969,\N,"soundtrack,actor,producer","tt0113118,tt0101507,tt0195945,tt1408253",nm0001084
nm0001094,Roald Dahl,1916,1990,"writer,actor,soundtrack","tt0100944,tt0062512,tt0067992,tt0047708",nm0001094
nm0001104,Frank Darabont,1959,\N,"writer,producer,director","tt0111161,tt0120689,tt0884328,tt1520211",nm0001104
nm0001140,Philip K. Dick,1928,1982,writer,"tt0100802,tt0181689,tt0083658,tt0405296",nm0001140
nm0001178,Sergei Eisenstein,1898,1948,"director,writer,editor","tt0029850,tt0015648,tt0037824,tt0018217",nm0001178
nm0001188,Nora Ephron,1941,2012,"writer,producer,director","tt0374536,tt1135503,tt0128853,tt0098635",nm0001188
nm0001191,Adam Sandler,1966,\N,"actor,producer,writer","tt0120484,tt0120888,tt0142342,tt0185431",nm0001191
nm0001206,Abel Ferrara,1951,\N,"director,writer,actor","tt0118734,tt0133122,tt0099939,tt0103759",nm0001206
nm0001220,Ian Fleming,1908,1964,"writer,miscellaneous","tt0055928,tt0059800,tt0086006,tt0381061",nm0001220
nm0001252,Vincent Gallo,1961,\N,"actor,director,soundtrack","tt1561768,tt0106307,tt0118789,tt0330099",nm0001252
nm0001279,William Goldman,1931,2018,"writer,miscellaneous,producer","tt0074860,tt0093779,tt0074119,tt0064115",nm0001279
nm0001281,Bobcat Goldthwait,1962,\N,"director,actor,writer","tt0119282,tt0102898,tt1912398,tt0096061",nm0001281
nm0001294,Graham Greene,1904,1991,"writer,actor,producer","tt0258068,tt0040338,tt0041959,tt0172396",nm0001294
nm0001302,Christopher Guest,1948,\N,"actor,writer,soundtrack","tt0088258,tt0218839,tt0118111,tt0310281",nm0001302
nm0001328,Howard Hawks,1896,1977,"director,producer,writer","tt0038355,tt0061619,tt0040724,tt0053221",nm0001328
nm0001338,Brian Helgeland,1961,\N,"writer,director,producer","tt0453562,tt0183790,tt7991508,tt3569230",nm0001338
nm0001348,Werner Herzog,1942,\N,"director,writer,actor","tt0083946,tt0068182,tt0790724,tt0079641",nm0001348
nm0001353,Walter Hill,1942,\N,"producer,writer,director","tt0088194,tt0090605,tt0083511,tt0103644",nm0001353
nm0001361,Tobe Hooper,1943,2017,"director,writer,producer","tt0072271,tt0089489,tt0092076,tt0084516",nm0001361
nm0001379,John Huston,1906,1987,"actor,director,writer","tt0042208,tt0040897,tt0043265,tt0071315",nm0001379
nm0001385,Eric Idle,1943,\N,"actor,writer,soundtrack","tt0071853,tt0079470,tt0085959,tt0096764",nm0001385
nm0001392,Peter Jackson,1961,\N,"producer,director,writer","tt0092610,tt0120737,tt0167261,tt0360717",nm0001392
nm0001402,Terry Jones,1942,2020,"writer,actor,producer","tt0085959,tt0079470,tt0118172,tt0071853",nm0001402
nm0001410,Lawrence Kasdan,1949,\N,"writer,producer,director","tt0085244,tt0090022,tt0111756,tt0082971",nm0001410
nm0001425,Krzysztof Kieslowski,1941,1996,"writer,director,actor","tt0108394,tt0111507,tt0111495,tt0101765",nm0001425
nm0001465,Elmore Leonard,1925,2013,"writer,producer,miscellaneous","tt1489428,tt0113161,tt0119396,tt0120780",nm0001465
nm0001466,Sergio Leone,1929,1989,"assistant_director,writer,director","tt0087843,tt0058461,tt0067140,tt0060196",nm0001466
nm0001501,Louis Malle,1932,1995,"director,writer,producer","tt0092593,tt0080388,tt0071733,tt0051378",nm0001501
nm0001507,Cheech Marin,1946,\N,"actor,soundtrack,writer","tt0116367,tt0092690,tt0078446,tt0117918",nm0001507
nm0001589,Michael Palin,1943,\N,"writer,actor,soundtrack","tt0081633,tt0071853,tt0085959,tt0079470",nm0001589
nm0001596,Pier Paolo Pasolini,1922,1975,"writer,director,actor","tt0058715,tt0061613,tt0073650,tt0065622",nm0001596
nm0001661,Rob Reiner,1947,\N,"actor,writer,producer","tt0066626,tt0160916,tt0993846,tt0088258",nm0001661
nm0001675,Robert Rodriguez,1968,\N,"producer,writer,director","tt0104815,tt0287717,tt1077258,tt0462322",nm0001675
nm0001681,George A. Romero,1940,2017,"producer,writer,director","tt0063350,tt0095652,tt0418819,tt0848557",nm0001681
nm0001692,Ken Russell,1927,2011,"director,writer,actor","tt0080360,tt0073812,tt0066858,tt0066993",nm0001692
nm0001707,Paul Schrader,1946,\N,"writer,director,soundtrack","tt0118564,tt6053438,tt0075314,tt11196036",nm0001707
nm0001728,Wallace Shawn,1943,\N,"actor,writer,producer","tt0317705,tt0114709,tt0082783,tt0093779",nm0001728
nm0001731,Sam Shepard,1943,2017,"actor,writer,soundtrack","tt0265086,tt1322269,tt1935179,tt0086197",nm0001731
nm0001754,Todd Solondz,1959,\N,"director,writer,actor","tt4144190,tt0147612,tt0114906,tt0808526",nm0001754
nm0001774,Ben Stiller,1965,\N,"producer,actor,director","tt0196229,tt0359950,tt0942385,tt1608290",nm0001774
nm0001779,Tom Stoppard,1937,\N,"writer,producer,actor","tt0138097,tt0088846,tt1781769,tt0100519",nm0001779
nm0001789,Andrei Tarkovsky,1932,1986,"writer,director,actor","tt0086022,tt0091670,tt0069293,tt0060107",nm0001789
nm0001801,Robert Towne,1934,\N,"writer,producer,actor","tt0071315,tt0073692,tt0117060,tt0096244",nm0001801
nm0001811,Peter Ustinov,1921,2004,"actor,writer,director","tt0074812,tt0055796,tt0054331,tt0077413",nm0001811
nm0001814,Gus Van Sant,1952,\N,"director,producer,writer","tt0842929,tt0363589,tt0102494,tt0097240",nm0001814
nm0001825,Andrew Kevin Walker,1964,\N,"writer,actor,miscellaneous","tt0109327,tt0114369,tt15033192,tt0162661",nm0001825
nm0001873,Steven Zaillian,1953,\N,"writer,producer,director","tt0120633,tt1568346,tt0108065,tt1210166",nm0001873
nm0001878,David Zucker,1947,\N,"writer,producer,director","tt0088286,tt0362120,tt0080339,tt0102510",nm0001878
nm0001880,Edward Zwick,1952,\N,"producer,writer,director","tt0115956,tt0138097,tt0092492,tt0325710",nm0001880
nm0001885,Lars von Trier,1956,\N,"writer,director,producer","tt0870984,tt4003440,tt0168629,tt0276919",nm0001885
nm0001940,Peter Benchley,1940,2006,"writer,producer,actor","tt0085750,tt0077766,tt0073195,tt0093300",nm0001940
nm0001969,Ray Bradbury,1920,2012,"writer,producer,actor","tt0064473,tt0060390,tt0088591,tt0049513",nm0001969
nm0001988,Marc Caro,1956,\N,"director,writer,actor","tt0487928,tt0118583,tt0101700,tt0112682",nm0001988
nm0002005,Agatha Christie,1890,1976,"writer,camera_department","tt7657566,tt0051201,tt1349600,tt3402236",nm0002005
nm0002009,Arthur C. Clarke,1917,2008,"writer,actor,art_department","tt0043238,tt0086837,tt0134933,tt0062622",nm0002009
nm0002020,Costa-Gavras,1933,\N,"director,writer,producer","tt0280653,tt0065234,tt0422015,tt0084335",nm0002020
nm0002021,Noël Coward,1899,1973,"writer,soundtrack,actor","tt0038363,tt0037558,tt0064505,tt0034891",nm0002021
nm0002025,Hume Cronyn,1911,2003,"actor,producer,writer","tt0092494,tt0036342,tt0088933,tt0088850",nm0002025
nm0002071,Will Ferrell,1967,\N,"producer,actor,soundtrack","tt0415306,tt1229340,tt0445934,tt0357413",nm0002071
nm0002132,Amy Heckerling,1954,\N,"writer,director,producer","tt0097778,tt0083929,tt3973820,tt0115137",nm0002132
nm0002140,Agnieszka Holland,1948,\N,"director,writer,assistant_director","tt6828390,tt1417075,tt0099776,tt5328350",nm0002140
nm0002144,John Houseman,1902,1988,"actor,producer,miscellaneous","tt0073631,tt0070509,tt0080749,tt0073802",nm0002144
nm0002340,Stuart Gordon,1947,2020,"writer,director,producer","tt0089885,tt0758786,tt0091083,tt0106950",nm0002340
nm0002717,Robert C. Jones,1936,2021,"editor,writer,editorial_department","tt0061735,tt0077362,tt0066011,tt0057193",nm0002717
nm0002728,Juan José Campanella,1959,\N,"writer,director,actor","tt1305806,tt1994702,tt8453986,tt0210843",nm0002728
nm0002864,Michael Markowitz,1961,\N,"producer,writer,miscellaneous","tt1499658,tt0174378,tt0366034,tt0108755",nm0002864
nm0002973,Lev L. Spiro,\N,\N,"director,sound_department,actor","tt2372162,tt1369845,tt14825736,tt1442437",nm0002973
nm0003031,Caroline Thompson,1956,\N,"writer,producer,director","tt0099487,tt0121164,tt0107688,tt0101272",nm0003031
nm0003160,Christopher McQuarrie,1968,\N,"writer,producer,director","tt0114814,tt1631867,tt4912910,tt2345759",nm0003160
nm0003249,Kristofor Brown,\N,\N,"producer,writer,miscellaneous","tt0273028,tt0817538,tt3544772,tt0105950",nm0003249
nm0003321,Scott Mitchell Rosenberg,\N,\N,"producer,writer,actor","tt0290966,tt0119654,tt0409847,tt1013860",nm0003321
nm0003408,Chris Marker,1921,2012,"writer,director,editor","tt0054799,tt0084628,tt0056119,tt0114746",nm0003408
nm0003506,James Mangold,1963,\N,"producer,director,writer","tt0113280,tt1950186,tt3315342,tt0358273",nm0003506
nm0003620,Kevin Smith,1970,\N,"producer,actor,writer","tt0424345,tt0118842,tt0120655,tt0109445",nm0003620
nm0003741,Robin Driscoll,\N,\N,"actor,writer,miscellaneous","tt0118689,tt0373632,tt0453451,tt0096657",nm0003741
nm0004056,Andrew Stanton,1965,\N,"writer,actor,producer","tt0120623,tt0266543,tt0910970,tt2277860",nm0004056
nm0004111,Mark Frost,1953,\N,"writer,producer,miscellaneous","tt0098936,tt0120667,tt4093826,tt0081873",nm0004111
nm0004122,Robert Bolt,1924,1995,"writer,director,actor","tt0060665,tt0059113,tt0091530,tt0056172",nm0004122
nm0004170,Bob Kane,1915,1998,"writer,miscellaneous,art_department","tt0372784,tt0096895,tt1877830,tt0468569",nm0004170
nm0004306,George Miller,1945,\N,"producer,writer,director","tt0082694,tt0366548,tt1392190,tt0079501",nm0004306
nm0004410,Mark Neveldine,1973,\N,"director,actor,producer","tt1121931,tt0964539,tt0479884,tt1034032",nm0004410
nm0004412,Ed Solomon,1960,\N,"writer,script_department,producer","tt3110958,tt0096928,tt0304328,tt0119654",nm0004412
nm0004552,Tom Sito,1956,\N,"art_department,animation_department,director","tt0097757,tt0110357,tt0126029,tt0103639",nm0004552
nm0004716,Darren Aronofsky,1969,\N,"producer,director,writer","tt0414993,tt5109784,tt0138704,tt0180093",nm0004716
nm0004798,Stephen J. Cannell,1941,2010,"writer,producer,actor","tt0092484,tt0071042,tt0080289,tt0081871",nm0004798
nm0004981,Matt Groening,1954,\N,"writer,producer,animation_department","tt5363918,tt0096697,tt0149460,tt0462538",nm0004981
nm0004987,Kirk Hammett,1962,\N,"soundtrack,actor,composer","tt3317234,tt0870154,tt0302886,tt0120177",nm0004987
nm0005036,Gale Anne Hurd,1955,\N,"producer,writer,miscellaneous","tt1340138,tt0090605,tt0088247,tt0120591",nm0005036
nm0005069,Spike Jonze,1969,\N,"producer,writer,director","tt0120188,tt1798709,tt0120601,tt0386117",nm0005069
nm0005101,Harmony Korine,1973,\N,"director,writer,actor","tt1488163,tt0113540,tt0119237,tt2101441",nm0005101
nm0005124,John Lasseter,1957,\N,"producer,writer,director","tt0120623,tt0120363,tt0114709,tt0317219",nm0005124
nm0005139,Mike Leigh,1943,\N,"director,writer,miscellaneous","tt0383694,tt0117589,tt1045670,tt1431181",nm0005139
nm0005222,Sam Mendes,1965,\N,"producer,director,miscellaneous","tt0257044,tt8579674,tt0959337,tt1074638",nm0005222
nm0005351,Ryan Reynolds,1976,\N,"actor,producer,writer","tt1431045,tt6264654,tt5463162,tt1462758",nm0005351
nm0005363,Guy Ritchie,1968,\N,"writer,director,producer","tt0208092,tt6139732,tt0988045,tt0120735",nm0005363
nm0005436,John Singleton,1968,2019,"producer,writer,director","tt0162650,tt0101507,tt0255819,tt0430105",nm0005436
nm0005515,Lars Ulrich,1963,\N,"soundtrack,actor,composer","tt1226229,tt3385516,tt1156398,tt0120755",nm0005515
nm0005541,Marlon Wayans,1972,\N,"actor,writer,producer","tt0116126,tt0381707,tt0430304,tt1046173",nm0005541
nm0005744,Slawomir Idziak,1945,\N,"cinematographer,writer,camera_department","tt0119177,tt0228750,tt0108394,tt0265086",nm0005744
nm0006085,Arthur Freed,1894,1973,"soundtrack,producer,music_department","tt0045152,tt0110413,tt0053125,tt0043278",nm0006085
nm0006249,Satyajit Ray,1921,1992,"writer,composer,director","tt0048473,tt0057935,tt0060742,tt0052572",nm0006249
nm0006516,Chris Terrio,1976,\N,"writer,producer,director","tt1024648,tt12361974,tt2527338,tt2975590",nm0006516
nm0006534,Phil Hay,\N,\N,"writer,producer,actor","tt0250224,tt7137380,tt2400463,tt11875316",nm0006534
nm0006554,Rodrigo García,1959,\N,"producer,writer,director","tt0420015,tt1121977,tt0835434,tt1602098",nm0006554
nm0006872,Sergio Donati,1933,\N,"writer,actor,assistant_director","tt0076504,tt0067140,tt0064116,tt0091828",nm0006872
nm0006902,Richard D'Ovidio,\N,\N,"writer,producer,actor","tt0245674,tt1911644,tt2376218,tt5592230",nm0006902
nm0006904,Tony Gilroy,1956,\N,"producer,writer,director","tt0465538,tt1135487,tt3748528,tt2872718",nm0006904
nm0006997,Peter M. Lenkov,1964,\N,"producer,writer,miscellaneous","tt0285331,tt7942796,tt0106697,tt0790736",nm0006997
nm0007091,Gabe Sachs,\N,\N,"writer,producer,director","tt2477230,tt0193676,tt0411004,tt1196141",nm0007091
nm0007139,Hark Tsui,1950,\N,"producer,director,writer","tt0103285,tt3950078,tt1123373,tt1686784",nm0007139
nm0007182,Alex Cox,1954,\N,"actor,director,writer","tt0488604,tt0943982,tt0091954,tt0087995",nm0007182
nm0007233,Bryce Zabel,\N,\N,"producer,writer,miscellaneous","tt0802821,tt0119707,tt0230011,tt0115151",nm0007233
nm0007646,Frank Abagnale Jr.,1948,\N,"actor,writer,miscellaneous","tt1148756,tt0170980,tt0264464",nm0007646
nm0008356,Kôbô Abe,1924,1993,"writer,director","tt17594162,tt0203612,tt0058625,tt0061065",nm0008356
nm0008743,Jonathan Aibel,1969,\N,"producer,writer,miscellaneous","tt1302011,tt0118375,tt0441773,tt1679335",nm0008743
nm0008935,Dustin Lee Abraham,\N,\N,"producer,miscellaneous,writer","tt0247082,tt0165454,tt0278488,tt9382344",nm0008935
nm0009190,J.J. Abrams,1966,\N,"producer,writer,music_department","tt0411008,tt2488496,tt0796366,tt2527338",nm0009190
nm0010004,Peter Ackerman,\N,\N,"producer,writer,actor","tt0268380,tt6095472,tt2149175,tt0438097",nm0010004
nm0010338,Jason 'Wee Man' Acuña,1973,\N,"actor,writer,producer","tt0493430,tt1116184,tt2281215,tt11466222",nm0010338
nm0010696,Ales Adamovich,1927,1994,writer,"tt0332820,tt5088274,tt0899242,tt0091251",nm0010696
nm0010930,Douglas Adams,1952,2001,"writer,script_department,miscellaneous","tt2303367,tt0371724,tt0134981,tt4047038",nm0010930
nm0011470,Andrew Adamson,1966,\N,"producer,director,writer","tt0363771,tt0499448,tt0298148,tt0126029",nm0011470
nm0011623,Charles Addams,1912,1988,"writer,actor,miscellaneous","tt1620981,tt0106220,tt0101272,tt0074937",nm0011623
nm0012496,Gilles Adrien,\N,\N,"writer,director,actor","tt0387115,tt0205659,tt0112682,tt0101700",nm0012496
nm0012810,Nina Agadzhanova,1889,1974,"writer,director,assistant_director","tt21635008,tt0023939,tt0019842,tt0015648",nm0012810
nm0013234,David Agosto,\N,\N,"writer,director,editor","tt0225181,tt1764651,tt1276438",nm0013234
nm0014960,Alexandre Aja,1978,\N,"director,producer,writer","tt8364368,tt0338095,tt0464154,tt0454841",nm0014960
nm0015149,Jacques Akchoti,\N,\N,"writer,miscellaneous,script_department","tt4428714,tt14429000,tt2155343,tt10944760",nm0015149
nm0015611,Ryûnosuke Akutagawa,1892,1927,writer,"tt2190475,tt0102128,tt0042876,tt1347008",nm0015611
nm0017274,Luis Alcoriza,1918,1992,"writer,director,actor","tt0134817,tt0056584,tt0055527,tt0207023",nm0017274
nm0017893,Grigoriy Aleksandrov,1903,1983,"director,writer,assistant_director","tt0028420,tt0018217,tt0039954,tt0015648",nm0017893
